File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.420,147.7,92.1,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.541,147.7,90.0,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_02.matrix,1.544,147.7,88.4,271,2736,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_03.matrix,1.566,147.8,91.4,271,2909,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_04.matrix,1.514,147.9,92.5,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_05.matrix,1.437,148.0,87.8,271,2857,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_06.matrix,1.501,148.0,88.5,271,2618,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_07.matrix,1.462,148.0,89.9,271,2829,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_08.matrix,1.466,85.7,88.8,271,2575,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_09.matrix,1.488,85.7,90.1,271,2874,0,0,O(n^k) - polynomial,O(n) - linear
