File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74L85.000_perm_02.matrix,0.004,62.6,0.0,7,29,2,21,O(n) - linear,O(n) - linear
74L85.000_perm_04.matrix,0.004,62.7,0.0,7,34,2,26,O(n) - linear,O(n) - linear
74L85.000_perm_03.matrix,0.006,62.7,0.0,7,28,2,20,O(n) - linear,O(n) - linear
74L85.000_perm_00.matrix,0.003,62.7,0.0,7,34,2,26,O(n) - linear,O(n) - linear
74L85.000_perm_01.matrix,0.003,62.7,0.0,7,34,2,26,O(n) - linear,O(n) - linear
