File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
c1355.002_perm_02.matrix,16.305,65.8,99.3,445,1504,2,1448,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_04.matrix,27.112,67.3,99.6,445,1568,2,1512,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_01.matrix,26.608,67.3,99.6,445,1568,2,1512,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_07.matrix,21.534,67.3,99.5,445,1385,2,1329,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_19.matrix,20.187,67.3,99.5,445,1508,2,1452,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_14.matrix,18.949,67.3,99.5,445,1453,2,1397,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_15.matrix,20.886,67.3,99.2,445,1416,2,1360,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_16.matrix,18.572,67.3,108.2,445,1454,2,1398,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_00.matrix,27.666,68.3,99.7,445,1568,2,1512,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_03.matrix,17.669,68.3,99.3,445,1453,2,1397,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_08.matrix,19.110,68.3,99.4,445,1455,2,1399,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_06.matrix,20.292,68.3,99.6,445,1468,2,1412,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_13.matrix,17.544,68.3,99.5,445,1453,2,1397,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_18.matrix,18.515,68.3,99.4,445,1450,2,1394,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_10.matrix,21.221,68.3,99.4,445,1418,2,1362,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_11.matrix,19.952,68.3,99.3,445,1478,2,1422,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_05.matrix,17.814,68.4,99.5,445,1349,2,1293,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_17.matrix,19.495,68.4,99.5,445,1445,2,1389,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_09.matrix,19.571,68.4,99.5,445,1443,2,1387,O(n^k) - polynomial,O(n) - linear
c1355.002_perm_12.matrix,19.742,68.4,99.5,445,1478,2,1422,O(n^k) - polynomial,O(n) - linear
