File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.847,53.6,95.0,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.786,53.7,99.0,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
