File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.577,61.5,90.5,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.514,61.6,88.2,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_02.matrix,1.495,61.7,89.7,271,2816,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_03.matrix,1.496,61.7,88.9,271,2820,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_04.matrix,1.499,61.8,90.8,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_05.matrix,1.473,61.9,89.5,271,2857,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_06.matrix,1.568,61.9,91.3,271,2980,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_07.matrix,1.448,62.0,88.4,271,2989,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_08.matrix,1.585,62.1,91.1,271,2727,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_09.matrix,1.601,62.1,89.4,271,2911,0,0,O(n^k) - polynomial,O(n) - linear
