File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.496,148.0,87.1,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.515,148.0,89.8,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_02.matrix,1.611,148.1,90.7,271,2901,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_03.matrix,1.474,148.1,89.0,271,2909,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_04.matrix,1.477,148.2,90.7,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_05.matrix,1.566,148.3,93.5,271,2857,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_06.matrix,1.529,148.3,91.1,271,2618,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_07.matrix,1.338,148.3,91.5,271,2829,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_08.matrix,1.508,86.1,89.2,271,2575,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_09.matrix,1.538,86.1,92.8,271,2874,0,0,O(n^k) - polynomial,O(n) - linear
