File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.440,61.1,90.9,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.534,61.2,88.0,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_02.matrix,1.598,61.3,87.4,271,2924,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_03.matrix,1.401,61.4,89.6,271,2909,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_04.matrix,1.557,61.4,94.6,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_05.matrix,1.427,61.5,89.4,271,2857,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_06.matrix,1.469,61.5,90.8,271,2618,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_07.matrix,1.316,61.6,91.9,271,2829,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_08.matrix,1.575,61.6,90.5,271,2575,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_09.matrix,1.563,61.7,89.5,271,2874,0,0,O(n^k) - polynomial,O(n) - linear
